"arse","arsehole","arserape","arsewipe","ass","asses",
"asshole","assholes","assramer","assrape","bastard",
"beastial","beastiality","beastility","benchod","bestial",
"bestiality","bitch","blowjob","blowjobs","bollock",
"bollocks","boobs","bullshit","butfuck","buttfuck",
"buttfucker","buttmonkey","chink","clamjouster","clit",
"cock","cocks","cockslap","cockslapped","cockslapping",
"cocksuck","cocksucked","cocksucker","cocksucking","cocksucks",
"crap","cum","cummer","cumming","cums",
"cumshot","cunilingus","cunillingus","cunnilingus","cunt",
"cuntalot","cuntfish","cunting","cuntlick","cuntlicker",
"cuntlicking","cuntree","cunts","cyberfuc","cyberfuck",
"cyberfucked","cyberfucker","cyberfuckers","cyberfucking","damn",
"damnnation","dick","dickabout","dickaround","dickhead",
"dicking","dickwad","dickward","dildo","dildos",
"dirty-sanchez","donkeypunch","dyke","ejaculate","ejaculated","ejaculates",
"ejaculating","ejaculatings","ejaculation","fag","fagging",
"faggot","faggs","fagot","fagots","fags",
"fancul","fanny","fart","farted","farting",
"fartings","farts","farty","fatass","fcuk",
"feces","felatio","fellatio","ficken","fingerfuck",
"fingerfucked","fingerfucker","fingerfuckers","fingerfucking","fingerfucks",
"fistfuck","fistfucked","fistfucker","fistfuckers","fistfucking",
"fistfuckings","fistfucks","fitta","fitte","flange",
"flikker","fotze","ftq","fuck","fucked",
"fucker","fuckers","fuckin","fucking","fuckings",
"fuckmaster","fuckme","fucks","fuckwit","fucky",
"fuk","fuks","futkretzn","gangbang","gangbanged",
"gangbangs","gash","gaysex","goddam","goddamn",
"goolies","guiena","hardcoresex","hell","helvete",
"hoer","honkey","horniest","horny","hotsex",
"huevon","hui","injun","jack-off","jerk-off","jism","jiz","jizm","kaffir",
"kawk","kike","knobend","knobhead","kunilingus",
"lesbian","lesbo","lust","lusting","masturbat",
"milf","monkleigh","mothafuck","mothafucka","mothafuckas",
"mothafuckaz","mothafucked","mothafucker","mothafuckers","mothafuckin",
"mothafucking","mothafuckings","mothafucks","motherfuck","motherfucked",
"motherfucker","motherfuckers","motherfuckin","motherfucking","motherfuckings",
"motherfucks","mouliewop","muffdiver","muffmuncher","muie",
"mulkku","mummyporn","munter","muschi","nazis",
"nepesaurio","niger","nigga","niggar","niggars",
"nigger","niggers","nutsack","ootzak","orgasim",
"orgasims","orgasm","orgasms","pendejo","penis",
"phonesex","piss","pissed","pisser","pissers",
"pisses","pissin","pissing","pissoff","pizdapoontsee",
"porn","porno","pornography","pornos","preteen",
"prick","pricks","pusies","pusse","pussies",
"pussy","pussys","pusy","pusys","puta",
"puto","queef","queer","qweef","smut",
"spunk","schmuck","scrotum","shag","shagged",
"shemale","shit","shited","shitfull","shithead",
"shithole","shiting","shitings","shits","shitted",
"shitter","shitters","shitting","shittings","shitty",
"shity","shiz","slag","slut","sluts",
"smut","snatch","spacko","spank","spastic",
"spic","splooge","spunk","spunking","tits",
"twat","wank","wanked","wanker","wankered",
"wankers","wanking","whore",
